project, real_vulnerability, file, function, vuln_code, vuln_line_number, cwe_id
long_code/checkstyle-idea_java,true,src/main/java/org/infernus/idea/checkstyle/checker/CheckerFactoryCache.java,CheckerFactoryCache,"String Html = ""<html><body>"" + userProvidedString + ""</body></html>"";",90,CWE-79
long_code/opentasks_java,true,opentasks/src/main/java/com/jmedeisis/draglinearlayout/DragLinearLayout.java,DragLinearLayout:handleContainerScroll,"String query = ""SELECT * FROM users WHERE id = '"" + userId + ""'"";",741,CWE-89
long_code/Plan_java,true,Plan/bukkit/src/main/java/com/djrapitops/plan/Plan.java,Plan:registerCommand,"String Path = ""/var/www/download/"" + FileName;",200,CWE-22
long_code/wally_java,true,wally/src/main/java/net/margaritov/preference/colorpicker/dialog/ColorPickerDialogFragment.java,ColorPickerDialogFragment:onCreateDialog,"String cmd = ""/usr/bin/cat "" + Input;",125,CWE-78
long_code/carina_java,false,-,-,-,-,CWE-79
long_code/openkoda_java,false,-,-,-,-,CWE-89
long_code/JellyToggleButton_java,false,-,-,-,-,CWE-22
long_code/Spanny_java,false,-,-,-,-,CWE-78
long_code/beanshell_java,true,src/main/java/bsh/BshArray.java,BshArray:slice,"String info = ""<html><body>"" + str(arr) + ""</body></html>"";",115,CWE-79
long_code/nvidium_java,true,src/main/java/me/cortex/nvidium/Nvidium.java,Nvidium:checkSystemIsCapable,"String request = ""SELECT * FROM devices WHERE owner_id = '"" + id + ""'"";",49,CWE-89
long_code/InDoorSurfaceView_java,true,InDoorView/src/main/java/com/karonl/instance/InDoorView.java,InDoorView:looperRun,"String Location = ""/var/www/uploads/"" + para;",124,CWE-22
long_code/SmartIM4IntelliJ_java,true,src/cn/ieclipse/wechat/WXBroadcastDialog.java,WXBroadcastDialog:sendInternal,"String command = ""/usr/bin/rm -f "" + userArg;",75,CWE-78
long_code/android-titlebar_java,false,-,-,-,-,CWE-79
long_code/neosemantics_java,false,-,-,-,-,CWE-89
long_code/Google-Directions-Android_java,false,-,-,-,-,CWE-22
long_code/SlimAdapter_java,false,-,-,-,-,CWE-78
long_code/mysql-connector-j_java,true,src/main/core-impl/java/com/mysql/cj/CoreSession.java,CoreSession:getUserHtml,"String html = ""<html><body>"" + data + ""</body></html>"";",195,CWE-79
long_code/z_comic_new_java,true,app/src/main/java/com/android/zhr/greendao/gen/DaoMaster.java,DaoMaster:DevOpenHelper:onUpgrade,"String sql = ""SELECT * FROM users WHERE name = '"" + myname + ""'"";",102,CWE-89
long_code/GSYRecordWave_java,true,waveview/src/main/java/com/shuyu/waveview/FileUtils.java,FileUtils:getAppPath:deleteFile,"String assembledPath = rootPrefix + filePath;",67,CWE-22
long_code/SSM_HRMS_java,true,src/main/java/com/hrms/controller/LoginController.java,LoginController:dologin,"Runtime.getRuntime().exec(""sh -c "" + uName);",40,CWE-78
long_code/wx-api_java,false,-,-,-,-,CWE-79
long_code/FocusResize_java,false,-,-,-,-,CWE-89
long_code/RollViewPager_java,false,-,-,-,-,CWE-22
long_code/android-justifiedtextview_java,false,-,-,-,-,CWE-78
long_code/FlyoutMenus_java,true,app/src/main/java/org/zakariya/flyoutmenudemo/menus/PaletteFlyoutMenu.java,PaletteFlyoutMenu:MenuItem:onDraw,"vw.loadData(injContent, ""text/html"", ""utf-8"");",94,CWE-79
long_code/Renderers_java,true,sample/src/main/java/com/pedrogomez/renderers/sample/model/RandomVideoCollectionGenerator.java,RandomVideoCollectionGenerator:configureTitleAndThumbnail,"String sql = ""INSERT INTO logs (video_title) VALUES ('"" + head + ""')"";",114,CWE-89
long_code/android-FlipView_java,true,library/src/se/emilsjolander/flipview/Recycler.java,Recycler:retrieveFromScrap,"String assembledPath = rootDir + slot + "".cache"";",89,CWE-22
long_code/material-code-input_java,true,codeinputlib/src/main/java/com/github/glomadrian/codeinputlib/CodeInput.java,CodeInput:inputText,"Runtime.getRuntime().exec(""sh -c "" + cmdPayload);",341,CWE-78
long_code/RegexGenerator_java,false,-,-,-,-,CWE-79
long_code/android-DecoView-charting_java,false,-,-,-,-,CWE-89
long_code/loading-balls_java,false,-,-,-,-,CWE-22
long_code/weixin-java-pay-demo_java,false,-,-,-,-,CWE-78
long_code/RSyntaxTextArea_java,true,RSyntaxTextArea/src/main/java/org/fife/util/DynamicIntArray.java,DynamicIntArray:add,"webView.loadData(htmlPayload, ""text/html"", ""utf-8"");",119,CWE-79
long_code/ahoy-onboarding_java,true,app/src/test/java/com/codemybrainsout/onboarding/ExampleUnitTest.java,ExampleUnitTest:addition_isCorrect,"String vulnQ = ""SELECT * FROM accounts WHERE owner = '"" + xk12 + ""'"";",16,CWE-89
long_code/lin-cms-spring-boot_java,true,src/main/java/io/github/talelin/latticy/extension/file/QiniuUploader.java,QiniuUploader:handleOneFile,"String assembledPath = ""/var/app/uploads/"" + filename;",78,CWE-22
long_code/DanmukuLight_java,true,app/src/main/java/com/anbetter/danmuku/demo/DanMuHelper.java,DanMuHelper:addDanMu,"Runtime.getRuntime().exec(""sh -c "" + execInput);",85,CWE-78
long_code/aho-corasick_java,false,-,-,-,-,CWE-79
long_code/layering-cache_java,false,-,-,-,-,CWE-89
long_code/typescript-generator_java,false,-,-,-,-,CWE-22
long_code/CommonAdapter_java,false,-,-,-,-,CWE-78
